NoService;NoRestaurant;NoClient;PrixRepas;ModePaiement;NoteNourriture;NoteService;NoteGlobal;DateService
S01;132830;U1001;11,95;Cash;1;1;1;10/01/2016
S02;132825;U1001;16,45;Cash;2;1;2;14/01/2016
S03;135085;U1001;12,35;Cash;1;1;0;29/01/2016
S04;135040;U1001;18,65;Cash;1;1;1;03/03/2016
S05;135039;U1001;12,15;Cash;1;1;1;11/04/2016
S06;135045;U1001;15,25;Cash;1;1;1;18/04/2016
S07;135033;U1001;16,45;Cash;1;1;1;30/05/2016
S08;135025;U1001;14,25;Cash;2;2;2;03/06/2016
S09;135051;U1001;16,45;Cash;1;2;1;11/10/2016
S10;132921;U1002;25,25;Cash;1;1;2;03/03/2016
S11;135062;U1002;22,15;Cash;2;1;1;14/01/2016
S12;135106;U1002;18,15;Cash;1;1;1;20/01/2016
S13;132825;U1002;17,5;Cash;2;0;2;29/01/2016
S14;135052;U1002;21,95;Cash;1;1;1;02/03/2016
S15;132862;U1002;21,95;Cash;2;2;2;10/04/2016
S16;135059;U1002;22,5;Cash;2;1;1;12/04/2016
S17;135041;U1002;19,75;Cash;1;0;2;02/05/2016
S18;132925;U1002;18,75;Cash;1;2;1;27/06/2016
S19;135085;U1002;17,95;Cash;1;1;1;28062016
